context,question,answer,context_id
Điều kiện giao dịch chung chỉ có hiệu lực với bên xác lập giao dịch trong trường hợp điều kiện giao dịch này đã được công khai để bên xác lập giao dịch biết hoặc phải biết về điều kiện đó.,Điều kiện giao dịch chung phải được công khai như thế nào?,Điều kiện giao dịch chung chỉ có hiệu lực với bên xác lập giao dịch trong trường hợp điều kiện giao dịch này đã được công khai để bên xác lập giao dịch biết hoặc phải biết về điều kiện đó.,doc_11
Quyết định của Tòa án hoặc cơ quan có thẩm quyền khác là một căn cứ để xác lập quyền dân sự theo quy định của luật.,Quyền dân sự được xác lập từ quyết định của Tòa án như thế nào?,Quyết định của Tòa án hoặc cơ quan có thẩm quyền khác là một căn cứ để xác lập quyền dân sự theo quy định của luật.,doc_12
"Quyền sở hữu được xác lập do lao động, do hoạt động sản xuất, kinh doanh hợp pháp, do hoạt động sáng tạo ra đối tượng quyền sở hữu trí tuệ.","Hoạt động lao động, sản xuất hợp pháp có phải là căn cứ xác lập quyền sở hữu không?","Quyền sở hữu được xác lập do lao động, do hoạt động sản xuất, kinh doanh hợp pháp, do hoạt động sáng tạo ra đối tượng quyền sở hữu trí tuệ.",doc_13
"Bên thuê vận chuyển phải trả đủ tiền cước phí vận chuyển cho bên vận chuyển theo đúng thời hạn, phương thức đã thỏa thuận.",Bên thuê vận chuyển có nghĩa vụ gì liên quan đến cước phí?,"Bên thuê vận chuyển phải trả đủ tiền cước phí vận chuyển cho bên vận chuyển theo đúng thời hạn, phương thức đã thỏa thuận.",doc_14
Bên nhận thế chấp có quyền yêu cầu bên thế chấp phải cung cấp thông tin về thực trạng tài sản thế chấp.,Bên nhận thế chấp có quyền yêu cầu gì từ bên thế chấp về tài sản thế chấp?,Bên nhận thế chấp có quyền yêu cầu bên thế chấp phải cung cấp thông tin về thực trạng tài sản thế chấp.,doc_15
"Hợp đồng hợp tác có nội dung về quyền, nghĩa vụ của thành viên hợp tác.",Tại sao cần làm rõ quyền và nghĩa vụ của các thành viên hợp tác trong hợp đồng?,"Hợp đồng hợp tác có nội dung về quyền, nghĩa vụ của thành viên hợp tác.",doc_16
Mọi cá nhân đều có năng lực pháp luật dân sự như nhau.,Luật quy định như thế nào về sự bình đẳng trong năng lực pháp luật dân sự của cá nhân?,Mọi cá nhân đều có năng lực pháp luật dân sự như nhau.,doc_17
"Chủ sở hữu, người chiếm hữu, người được giao quản lý, sử dụng nhà cửa, công trình xây dựng khác phải bồi thường thiệt hại do nhà cửa, công trình xây dựng khác gây thiệt hại cho người khác.","Ai là người có trách nhiệm bồi thường khi nhà cửa, công trình xây dựng gây thiệt hại?","Chủ sở hữu, người chiếm hữu, người được giao quản lý, sử dụng nhà cửa, công trình xây dựng khác phải bồi thường thiệt hại do nhà cửa, công trình xây dựng khác gây thiệt hại cho người khác.",doc_18
"Trong trường hợp con nuôi để lại di sản của mình cho cha, mẹ nuôi trong di chúc hợp pháp thì cha, mẹ nuôi hoàn toàn được toàn quyền hưởng thừa kế.",Cha mẹ nuôi có được hưởng thừa kế nếu con nuôi mất?,"Trong trường hợp con nuôi để lại di sản của mình cho cha, mẹ nuôi trong di chúc hợp pháp thì cha, mẹ nuôi hoàn toàn được toàn quyền hưởng thừa kế.",doc_19
"Trường hợp không có thỏa thuận hoặc thỏa thuận không rõ ràng về giá, phương thức thanh toán thì giá được xác định theo giá thị trường, phương thức thanh toán được xác định theo tập quán tại địa điểm và thời điểm giao kết hợp đồng.","Khi không có thỏa thuận về giá và phương thức thanh toán, giá sẽ được xác định như thế nào?","Trường hợp không có thỏa thuận hoặc thỏa thuận không rõ ràng về giá, phương thức thanh toán thì giá được xác định theo giá thị trường, phương thức thanh toán được xác định theo tập quán tại địa điểm và thời điểm giao kết hợp đồng.",doc_20
"Trường hợp bên thuê sử dụng tài sản không đúng mục đích, không đúng công dụng thì bên cho thuê có quyền đơn phương chấm dứt thực hiện hợp đồng và yêu cầu bồi thường thiệt hại.",Bên cho thuê có quyền gì nếu bên thuê sử dụng tài sản không đúng mục đích hoặc công dụng?,"Trường hợp bên thuê sử dụng tài sản không đúng mục đích, không đúng công dụng thì bên cho thuê có quyền đơn phương chấm dứt thực hiện hợp đồng và yêu cầu bồi thường thiệt hại.",doc_21
"Người chiếm hữu, người sử dụng tài sản của người khác mà không có căn cứ pháp luật phải hoàn trả cho chủ sở hữu, chủ thể có quyền khác đối với tài sản đó; nếu không tìm được chủ sở hữu, chủ thể có quyền khác đối với tài sản thì phải giao cho cơ quan nhà nước có thẩm quyền, trừ trường hợp quy định tại Điều 236 của Bộ luật Dân sự.","Trường hợp không tìm được chủ sở hữu, chủ thể có quyền khác đối với tài sản thì người chiếm hữu, sử dụng tài sản phải làm gì?","Người chiếm hữu, người sử dụng tài sản của người khác mà không có căn cứ pháp luật phải hoàn trả cho chủ sở hữu, chủ thể có quyền khác đối với tài sản đó; nếu không tìm được chủ sở hữu, chủ thể có quyền khác đối với tài sản thì phải giao cho cơ quan nhà nước có thẩm quyền, trừ trường hợp quy định tại Điều 236 của Bộ luật Dân sự.",doc_22
Trường hợp thỏa thuận hoặc di chúc không xác định thời hạn của quyền bề mặt thì mỗi bên có quyền chấm dứt quyền này bất cứ lúc nào nhưng phải thông báo bằng văn bản cho bên kia biết trước ít nhất là 06 tháng.,Thỏa thuận không xác định thời hạn của quyền bề mặt sẽ dẫn đến điều gì?,Trường hợp thỏa thuận hoặc di chúc không xác định thời hạn của quyền bề mặt thì mỗi bên có quyền chấm dứt quyền này bất cứ lúc nào nhưng phải thông báo bằng văn bản cho bên kia biết trước ít nhất là 06 tháng.,doc_23
"Trường hợp đã phân chia di sản mà xuất hiện người thừa kế mới thì không thực hiện việc phân chia lại di sản bằng hiện vật, nhưng những người thừa kế đã nhận di sản phải thanh toán cho người thừa kế mới một khoản tiền tương ứng với phần di sản của người đó tại thời điểm chia thừa kế theo tỷ lệ tương ứng với phần di sản đã nhận, trừ trường hợp có thỏa thuận khác.",Vì sao người thừa kế đã nhận di sản phải thanh toán cho người thừa kế mới?,"Trường hợp đã phân chia di sản mà xuất hiện người thừa kế mới thì không thực hiện việc phân chia lại di sản bằng hiện vật, nhưng những người thừa kế đã nhận di sản phải thanh toán cho người thừa kế mới một khoản tiền tương ứng với phần di sản của người đó tại thời điểm chia thừa kế theo tỷ lệ tương ứng với phần di sản đã nhận, trừ trường hợp có thỏa thuận khác.",doc_24
Trường hợp một bên trao đổi cho bên kia tài sản không thuộc quyền sở hữu của mình hoặc không được chủ sở hữu ủy quyền thì bên kia có quyền hủy bỏ hợp đồng và yêu cầu bồi thường thiệt hại.,Bên nhận tài sản trong trường hợp này có thể làm gì nếu tài sản không thuộc quyền sở hữu của bên trao đổi?,Trường hợp một bên trao đổi cho bên kia tài sản không thuộc quyền sở hữu của mình hoặc không được chủ sở hữu ủy quyền thì bên kia có quyền hủy bỏ hợp đồng và yêu cầu bồi thường thiệt hại.,doc_25
Trường hợp điều ước quốc tế mà Cộng hòa xã hội chủ nghĩa Việt Nam là thành viên có quy định về quyền và nghĩa vụ của các bên tham gia quan hệ dân sự có yếu tố nước ngoài thì quy định của điều ước quốc tế đó được áp dụng.,Điều ước quốc tế có quy định về quyền và nghĩa vụ của các bên tham gia quan hệ dân sự có yếu tố nước ngoài có được áp dụng không?,Trường hợp điều ước quốc tế mà Cộng hòa xã hội chủ nghĩa Việt Nam là thành viên có quy định về quyền và nghĩa vụ của các bên tham gia quan hệ dân sự có yếu tố nước ngoài thì quy định của điều ước quốc tế đó được áp dụng.,doc_26
"Khi một bên tham gia giao dịch dân sự do bị lừa dối hoặc bị đe dọa, cưỡng ép thì có quyền yêu cầu Tòa án tuyên bố giao dịch dân sự đó là vô hiệu.",Đe dọa và cưỡng ép trong giao dịch dân sự là gì?,"Khi một bên tham gia giao dịch dân sự do bị lừa dối hoặc bị đe dọa, cưỡng ép thì có quyền yêu cầu Tòa án tuyên bố giao dịch dân sự đó là vô hiệu.",doc_27
"Trường hợp cá nhân, pháp nhân không tuân thủ quy định tại khoản 1 Điều này thì Tòa án hoặc cơ quan có thẩm quyền khác căn cứ vào tính chất, hậu quả của hành vi vi phạm mà có thể không bảo vệ một phần hoặc toàn bộ quyền của họ, buộc bồi thường nếu gây thiệt hại và có thể áp dụng chế tài khác do luật quy định.","Hậu quả khi cá nhân, pháp nhân lạm dụng quyền dân sự là gì?","Trường hợp cá nhân, pháp nhân không tuân thủ quy định tại khoản 1 Điều này thì Tòa án hoặc cơ quan có thẩm quyền khác căn cứ vào tính chất, hậu quả của hành vi vi phạm mà có thể không bảo vệ một phần hoặc toàn bộ quyền của họ, buộc bồi thường nếu gây thiệt hại và có thể áp dụng chế tài khác do luật quy định.",doc_28
Việc thực hiện quyền thừa kế đối với bất động sản được xác định theo pháp luật của nước nơi có bất động sản đó.,Thừa kế bất động sản phải tuân theo pháp luật của quốc gia nào?,Việc thực hiện quyền thừa kế đối với bất động sản được xác định theo pháp luật của nước nơi có bất động sản đó.,doc_29
"Chủ thể có quyền khác đối với tài sản được thực hiện mọi hành vi trong phạm vi quyền được quy định tại Bộ luật Dân sự, luật khác có liên quan nhưng không được gây thiệt hại hoặc làm ảnh hưởng đến lợi ích quốc gia, dân tộc, lợi ích công cộng, quyền và lợi ích hợp pháp của chủ sở hữu tài sản hoặc của người khác.",Chủ thể có quyền khác đối với tài sản có thể thực hiện những hành vi nào?,"Chủ thể có quyền khác đối với tài sản được thực hiện mọi hành vi trong phạm vi quyền được quy định tại Bộ luật Dân sự, luật khác có liên quan nhưng không được gây thiệt hại hoặc làm ảnh hưởng đến lợi ích quốc gia, dân tộc, lợi ích công cộng, quyền và lợi ích hợp pháp của chủ sở hữu tài sản hoặc của người khác.",doc_30
Vật chia được là vật khi bị phân chia vẫn giữ nguyên tính chất và tính năng sử dụng ban đầu.,Vật chia được là gì?,Vật chia được là vật khi bị phân chia vẫn giữ nguyên tính chất và tính năng sử dụng ban đầu.,doc_31
"Trường hợp không có người giám hộ quy định tại khoản 1 và khoản 2, bác ruột, chú ruột, cậu ruột, cô ruột hoặc dì ruột sẽ làm người giám hộ.",Trường hợp không có người giám hộ theo khoản 1 và khoản 2 thì ai sẽ làm người giám hộ?,"Trường hợp không có người giám hộ quy định tại khoản 1 và khoản 2, bác ruột, chú ruột, cậu ruột, cô ruột hoặc dì ruột sẽ làm người giám hộ.",doc_32
Trường hợp xác lập giao dịch dân sự giả tạo nhằm trốn tránh nghĩa vụ với người thứ ba thì giao dịch dân sự đó vô hiệu.,Giao dịch dân sự giả tạo có thể bị vô hiệu trong trường hợp nào?,Trường hợp xác lập giao dịch dân sự giả tạo nhằm trốn tránh nghĩa vụ với người thứ ba thì giao dịch dân sự đó vô hiệu.,doc_33
"Trường hợp các thành viên hợp tác cử người đại diện thì người này là người đại diện trong xác lập, thực hiện giao dịch dân sự.",Làm thế nào để chọn một người đại diện phù hợp cho giao dịch dân sự?,"Trường hợp các thành viên hợp tác cử người đại diện thì người này là người đại diện trong xác lập, thực hiện giao dịch dân sự.",doc_34
trường hợp trẻ vẫn còn Giấy khai sinh bản sao hoặc trích lục khai sinh hoặc đã được cấp mã số định danh thì dù mất Giấy khai sinh bản gốc vẫn có thể được cấp hộ chiếu.,Trẻ em dưới 14 tuổi mất Giấy khai sinh bản gốc có xin cấp hộ chiếu được không?,trường hợp trẻ vẫn còn Giấy khai sinh bản sao hoặc trích lục khai sinh hoặc đã được cấp mã số định danh thì dù mất Giấy khai sinh bản gốc vẫn có thể được cấp hộ chiếu.,doc_35
"Hàng thừa kế thứ nhất gồm vợ, chồng, cha đẻ, mẹ đẻ, cha nuôi, mẹ nuôi, con đẻ, con nuôi của người chết. Những người này được hưởng phần di sản bằng nhau nếu họ còn sống tại thời điểm mở thừa kế.",Điều 651 quy định những người thừa kế trong hàng thừa kế thứ nhất bao gồm những ai?,"Hàng thừa kế thứ nhất gồm vợ, chồng, cha đẻ, mẹ đẻ, cha nuôi, mẹ nuôi, con đẻ, con nuôi của người chết. Những người này được hưởng phần di sản bằng nhau nếu họ còn sống tại thời điểm mở thừa kế.",doc_36
"Hợp đồng về quyền sử dụng đất phải được lập thành văn bản theo hình thức phù hợp với quy định của Bộ luật Dân sự, pháp luật về đất đai và quy định khác của pháp luật có liên quan.",Hợp đồng về quyền sử dụng đất phải được lập dưới hình thức nào?,"Hợp đồng về quyền sử dụng đất phải được lập thành văn bản theo hình thức phù hợp với quy định của Bộ luật Dân sự, pháp luật về đất đai và quy định khác của pháp luật có liên quan.",doc_37
"Trường hợp pháp luật quy định giá, phương thức thanh toán phải theo quy định của cơ quan nhà nước có thẩm quyền thì thỏa thuận của các bên phải phù hợp với quy định đó.","Khi pháp luật quy định, các bên có thể thỏa thuận giá và phương thức thanh toán khác không?","Trường hợp pháp luật quy định giá, phương thức thanh toán phải theo quy định của cơ quan nhà nước có thẩm quyền thì thỏa thuận của các bên phải phù hợp với quy định đó.",doc_38
"Các chủ sở hữu bất động sản liền kề có thể thỏa thuận với nhau về việc dựng cột mốc, hàng rào, trồng cây, xây tường ngăn trên ranh giới để làm mốc giới ngăn cách giữa các bất động sản; những vật mốc giới này là sở hữu chung của các chủ thể đó.","Khi hai bên thỏa thuận về mốc giới, ai sẽ sở hữu các vật mốc giới đó?","Các chủ sở hữu bất động sản liền kề có thể thỏa thuận với nhau về việc dựng cột mốc, hàng rào, trồng cây, xây tường ngăn trên ranh giới để làm mốc giới ngăn cách giữa các bất động sản; những vật mốc giới này là sở hữu chung của các chủ thể đó.",doc_39
Giao dịch dân sự được thực hiện xong trước ngày Bộ luật Dân sự có hiệu lực mà có tranh chấp thì áp dụng quy định của Bộ luật Dân sự số 33/2005/QH11 và các văn bản quy phạm pháp luật quy định chi tiết Bộ luật Dân sự số 33/2005/QH11 để giải quyết.,Giao dịch dân sự đã được thực hiện xong trước ngày Bộ luật Dân sự có hiệu lực mà có tranh chấp thì pháp luật nào được áp dụng để giải quyết?,Giao dịch dân sự được thực hiện xong trước ngày Bộ luật Dân sự có hiệu lực mà có tranh chấp thì áp dụng quy định của Bộ luật Dân sự số 33/2005/QH11 và các văn bản quy phạm pháp luật quy định chi tiết Bộ luật Dân sự số 33/2005/QH11 để giải quyết.,doc_40
Quyền sử dụng có thể được chuyển giao cho người khác theo thỏa thuận hoặc theo quy định của pháp luật.,Quyền sử dụng có thể được chuyển giao cho người khác không?,Quyền sử dụng có thể được chuyển giao cho người khác theo thỏa thuận hoặc theo quy định của pháp luật.,doc_41
"Công việc được hứa thưởng phải cụ thể, có thể thực hiện được, không vi phạm điều cấm của luật, không trái đạo đức xã hội.",Công việc được hứa thưởng phải có những đặc điểm gì?,"Công việc được hứa thưởng phải cụ thể, có thể thực hiện được, không vi phạm điều cấm của luật, không trái đạo đức xã hội.",doc_42
"Người được chủ sở hữu ủy quyền quản lý tài sản thực hiện việc chiếm hữu tài sản đó trong phạm vi, theo cách thức, thời hạn do chủ sở hữu xác định.","Phạm vi, cách thức và thời hạn chiếm hữu của người được ủy quyền được xác định bởi ai?","Người được chủ sở hữu ủy quyền quản lý tài sản thực hiện việc chiếm hữu tài sản đó trong phạm vi, theo cách thức, thời hạn do chủ sở hữu xác định.",doc_43
Trường hợp người thừa kế theo di chúc không là cá nhân thì phải tồn tại vào thời điểm mở thừa kế.,Người thừa kế không phải cá nhân có bắt buộc phải tồn tại tại thời điểm mở thừa kế không?,Trường hợp người thừa kế theo di chúc không là cá nhân thì phải tồn tại vào thời điểm mở thừa kế.,doc_44
Cầm giữ tài sản chấm dứt khi bên cầm giữ không còn chiếm giữ tài sản trên thực tế.,Trong trường hợp nào cầm giữ tài sản sẽ chấm dứt?,Cầm giữ tài sản chấm dứt khi bên cầm giữ không còn chiếm giữ tài sản trên thực tế.,doc_45
"Nghĩa vụ bồi thường thiệt hại do xâm phạm tính mạng, sức khỏe, danh dự, nhân phẩm, uy tín không được bù trừ.","Vì sao nghĩa vụ bồi thường thiệt hại do xâm phạm tính mạng, sức khỏe, danh dự, nhân phẩm, uy tín không được bù trừ?","Nghĩa vụ bồi thường thiệt hại do xâm phạm tính mạng, sức khỏe, danh dự, nhân phẩm, uy tín không được bù trừ.",doc_46
"Không ai có thể bị hạn chế, bị tước đoạt trái luật quyền sở hữu, quyền khác đối với tài sản.","Bộ luật Dân sự có quy định về việc bảo vệ quyền sở hữu, quyền khác đối với tài sản như thế nào?","Không ai có thể bị hạn chế, bị tước đoạt trái luật quyền sở hữu, quyền khác đối với tài sản.",doc_47
Mục đích của giao dịch dân sự là lợi ích mà chủ thể mong muốn đạt được khi xác lập giao dịch đó.,Tại sao mục đích của giao dịch dân sự lại quan trọng?,Mục đích của giao dịch dân sự là lợi ích mà chủ thể mong muốn đạt được khi xác lập giao dịch đó.,doc_48
Để cha mẹ có thể đòi lại tài sản là quyền sử dụng đất đã sang tên cho con trước đó thì phải dựa vào ý chí của người con. Nếu người con đồng ý tặng cho lại quyền sử dụng đất này và sang tên cho cha mẹ thì cha mẹ mới có thể sở hữu phần đất này và thực hiện chia lại cho các người con thôi.,Cha mẹ cho con tài sản muốn đòi lại thì phải làm sao?,Để cha mẹ có thể đòi lại tài sản là quyền sử dụng đất đã sang tên cho con trước đó thì phải dựa vào ý chí của người con. Nếu người con đồng ý tặng cho lại quyền sử dụng đất này và sang tên cho cha mẹ thì cha mẹ mới có thể sở hữu phần đất này và thực hiện chia lại cho các người con thôi.,doc_49
Bên vận chuyển có nghĩa vụ bảo đảm thời gian xuất phát đã được thông báo hoặc theo thỏa thuận.,Bên vận chuyển có nghĩa vụ bảo đảm thời gian xuất phát không?,Bên vận chuyển có nghĩa vụ bảo đảm thời gian xuất phát đã được thông báo hoặc theo thỏa thuận.,doc_50
"Trường hợp giao dịch dân sự được xác lập có sự nhầm lẫn làm cho một bên hoặc các bên không đạt được mục đích của việc xác lập giao dịch thì bên bị nhầm lẫn có quyền yêu cầu Tòa án tuyên bố giao dịch dân sự vô hiệu, trừ trường hợp quy định tại khoản 2 Điều này.","Trong trường hợp giao dịch dân sự có sự nhầm lẫn, bên bị nhầm lẫn có quyền làm gì?","Trường hợp giao dịch dân sự được xác lập có sự nhầm lẫn làm cho một bên hoặc các bên không đạt được mục đích của việc xác lập giao dịch thì bên bị nhầm lẫn có quyền yêu cầu Tòa án tuyên bố giao dịch dân sự vô hiệu, trừ trường hợp quy định tại khoản 2 Điều này.",doc_51
"Bên cho mượn có quyền đòi lại tài sản khi bên mượn sử dụng không đúng mục đích, công dụng, không đúng cách thức đã thỏa thuận hoặc cho người khác mượn lại mà không có sự đồng ý của bên cho mượn.",Bên cho mượn có quyền đòi lại tài sản trong trường hợp nào nếu bên mượn không sử dụng đúng mục đích?,"Bên cho mượn có quyền đòi lại tài sản khi bên mượn sử dụng không đúng mục đích, công dụng, không đúng cách thức đã thỏa thuận hoặc cho người khác mượn lại mà không có sự đồng ý của bên cho mượn.",doc_52
"Thiệt hại khác do luật quy định có thể được tính vào thiệt hại do danh dự, nhân phẩm, uy tín bị xâm phạm.","Thiệt hại khác do luật quy định có được tính vào thiệt hại do danh dự, nhân phẩm, uy tín bị xâm phạm không?","Thiệt hại khác do luật quy định có thể được tính vào thiệt hại do danh dự, nhân phẩm, uy tín bị xâm phạm.",doc_53
Pháp luật áp dụng đối với hợp đồng dịch vụ được xác định dựa trên nơi cư trú của người cung cấp dịch vụ hoặc nơi thành lập của pháp nhân cung cấp dịch vụ.,Pháp luật của nước nào áp dụng đối với hợp đồng dịch vụ?,Pháp luật áp dụng đối với hợp đồng dịch vụ được xác định dựa trên nơi cư trú của người cung cấp dịch vụ hoặc nơi thành lập của pháp nhân cung cấp dịch vụ.,doc_54
"Hợp đồng hợp tác có nội dung về quyền, nghĩa vụ của người đại diện, nếu có.",Quyền và nghĩa vụ của người đại diện trong hợp đồng hợp tác được quy định như thế nào?,"Hợp đồng hợp tác có nội dung về quyền, nghĩa vụ của người đại diện, nếu có.",doc_55
Pháp luật áp dụng đối với quan hệ dân sự có yếu tố nước ngoài được xác định theo điều ước quốc tế mà Cộng hòa xã hội chủ nghĩa Việt Nam là thành viên hoặc luật Việt Nam.,Có thể áp dụng điều ước quốc tế thay vì luật Việt Nam khi xác định pháp luật đối với quan hệ dân sự có yếu tố nước ngoài không?,Pháp luật áp dụng đối với quan hệ dân sự có yếu tố nước ngoài được xác định theo điều ước quốc tế mà Cộng hòa xã hội chủ nghĩa Việt Nam là thành viên hoặc luật Việt Nam.,doc_56
"Giao dịch dân sự vi phạm quy định điều kiện có hiệu lực về hình thức thì vô hiệu, trừ trường hợp quy định tại khoản 1 và 2 của Điều 129.",Giao dịch dân sự vi phạm quy định về hình thức có bị vô hiệu không?,"Giao dịch dân sự vi phạm quy định điều kiện có hiệu lực về hình thức thì vô hiệu, trừ trường hợp quy định tại khoản 1 và 2 của Điều 129.",doc_57
"Trường hợp bên mua làm mất, hư hỏng tài sản thì bên bán có quyền yêu cầu bồi thường thiệt hại.",Bên bán có quyền gì nếu bên mua làm mất hoặc hư hỏng tài sản?,"Trường hợp bên mua làm mất, hư hỏng tài sản thì bên bán có quyền yêu cầu bồi thường thiệt hại.",doc_58
"Vì con nuôi là hàng thừa kế thứ nhất nên sẽ được ưu tiên hưởng thừa kế đầu tiên. Khi nào không còn con nuôi do đã chết hoặc con nuôi không có quyền, bị truất hoặc từ chối nhận di sản thì mới chia đến hàng thừa kế thứ hai là anh chị em ruột.","Giữa anh chị em ruột và con nuôi, ai được hưởng thừa kế khi người chết không để lại di chúc?","Vì con nuôi là hàng thừa kế thứ nhất nên sẽ được ưu tiên hưởng thừa kế đầu tiên. Khi nào không còn con nuôi do đã chết hoặc con nuôi không có quyền, bị truất hoặc từ chối nhận di sản thì mới chia đến hàng thừa kế thứ hai là anh chị em ruột.",doc_59
Khi một tài sản được dùng để bảo đảm thực hiện nhiều nghĩa vụ thì thứ tự ưu tiên thanh toán giữa các bên cùng nhận bảo đảm được xác định theo thứ tự xác lập hiệu lực đối kháng của các biện pháp bảo đảm.,Điều 308 quy định như thế nào về thứ tự ưu tiên thanh toán giữa các bên cùng nhận tài sản bảo đảm?,Khi một tài sản được dùng để bảo đảm thực hiện nhiều nghĩa vụ thì thứ tự ưu tiên thanh toán giữa các bên cùng nhận bảo đảm được xác định theo thứ tự xác lập hiệu lực đối kháng của các biện pháp bảo đảm.,doc_60
