context,question,answer
"Điều 311 Bộ luật Dân sự 2015 quy định: Bên đã thực hiện toàn bộ nghĩa vụ liên đới có quyền yêu cầu các bên có nghĩa vụ liên đới khác hoàn trả phần nghĩa vụ của họ.","Bên thực hiện nghĩa vụ liên đới có quyền gì theo Điều 311?","Bên thực hiện toàn bộ nghĩa vụ liên đới có quyền yêu cầu các bên có nghĩa vụ khác hoàn trả phần nghĩa vụ của họ."
"Điều 312 Bộ luật Dân sự 2015 quy định: Nghĩa vụ dân sự có thể được bảo đảm bằng các biện pháp như cầm cố, thế chấp, đặt cọc, ký cược, ký quỹ, bảo lãnh, hoặc tín chấp.","Nghĩa vụ dân sự có thể được bảo đảm bằng những biện pháp nào theo Điều 312?","Nghĩa vụ dân sự có thể được bảo đảm bằng cầm cố, thế chấp, đặt cọc, ký cược, ký quỹ, bảo lãnh, hoặc tín chấp."
"Điều 313 Bộ luật Dân sự 2015 quy định: Cầm cố tài sản là việc bên có nghĩa vụ giao tài sản thuộc sở hữu của mình cho bên có quyền để bảo đảm thực hiện nghĩa vụ.","Cầm cố tài sản được định nghĩa như thế nào theo Điều 313?","Cầm cố tài sản là việc bên có nghĩa vụ giao tài sản thuộc sở hữu của mình cho bên có quyền để bảo đảm thực hiện nghĩa vụ."
"Điều 314 Bộ luật Dân sự 2015 quy định: Bên nhận cầm cố có quyền giữ tài sản cầm cố cho đến khi bên cầm cố thực hiện xong nghĩa vụ.","Bên nhận cầm cố có quyền gì theo Điều 314?","Bên nhận cầm cố có quyền giữ tài sản cầm cố cho đến khi bên cầm cố thực hiện xong nghĩa vụ."
"Điều 315 Bộ luật Dân sự 2015 quy định: Thế chấp tài sản là việc bên có nghĩa vụ dùng tài sản thuộc sở hữu của mình để bảo đảm thực hiện nghĩa vụ mà không giao tài sản cho bên nhận thế chấp.","Thế chấp tài sản là gì theo Điều 315?","Thế chấp tài sản là việc bên có nghĩa vụ dùng tài sản thuộc sở hữu của mình để bảo đảm thực hiện nghĩa vụ mà không giao tài sản."
"Điều 316 Bộ luật Dân sự 2015 quy định: Tài sản thế chấp vẫn do bên thế chấp giữ và sử dụng theo thỏa thuận hoặc pháp luật quy định.","Ai giữ và sử dụng tài sản thế chấp theo Điều 316?","Tài sản thế chấp do bên thế chấp giữ và sử dụng theo thỏa thuận hoặc pháp luật quy định."
"Điều 317 Bộ luật Dân sự 2015 quy định: Đặt cọc là việc một bên giao cho bên kia một khoản tiền hoặc tài sản khác để bảo đảm thực hiện nghĩa vụ.","Đặt cọc được định nghĩa như thế nào theo Điều 317?","Đặt cọc là việc một bên giao cho bên kia một khoản tiền hoặc tài sản khác để bảo đảm thực hiện nghĩa vụ."
"Điều 318 Bộ luật Dân sự 2015 quy định: Ký cược là việc bên có nghĩa vụ giao một khoản tiền hoặc tài sản khác cho bên có quyền để bảo đảm thực hiện nghĩa vụ, tài sản ký cược được hoàn trả khi nghĩa vụ được thực hiện.","Ký cược là gì theo Điều 318?","Ký cược là việc bên có nghĩa vụ giao một khoản tiền hoặc tài sản để bảo đảm thực hiện nghĩa vụ, được hoàn trả khi nghĩa vụ được thực hiện."
"Điều 319 Bộ luật Dân sự 2015 quy định: Ký quỹ là việc bên có nghĩa vụ gửi một khoản tiền hoặc tài sản vào tài khoản phong tỏa tại ngân hàng để bảo đảm thực hiện nghĩa vụ.","Ký quỹ được định nghĩa như thế nào theo Điều 319?","Ký quỹ là việc bên có nghĩa vụ gửi một khoản tiền hoặc tài sản vào tài khoản phong tỏa tại ngân hàng để bảo đảm thực hiện nghĩa vụ."
"Điều 320 Bộ luật Dân sự 2015 quy định: Bảo lãnh là việc bên thứ ba cam kết với bên có quyền sẽ thực hiện nghĩa vụ thay cho bên có nghĩa vụ nếu bên có nghĩa vụ không thực hiện hoặc thực hiện không đúng nghĩa vụ.","Bảo lãnh được định nghĩa như thế nào theo Điều 320?","Bảo lãnh là việc bên thứ ba cam kết thực hiện nghĩa vụ thay cho bên có nghĩa vụ nếu bên có nghĩa vụ không thực hiện hoặc thực hiện không đúng."
"Điều 321 Bộ luật Dân sự 2015 quy định: Tín chấp là việc bên có nghĩa vụ cam kết thực hiện nghĩa vụ dựa trên uy tín của mình mà không cần tài sản bảo đảm.","Tín chấp là gì theo Điều 321?","Tín chấp là việc bên có nghĩa vụ cam kết thực hiện nghĩa vụ dựa trên uy tín của mình mà không cần tài sản bảo đảm."
"Điều 322 Bộ luật Dân sự 2015 quy định: Các bên có thể thỏa thuận về việc sử dụng một hoặc nhiều biện pháp bảo đảm thực hiện nghĩa vụ.","Các bên có thể thỏa thuận gì về biện pháp bảo đảm theo Điều 322?","Các bên có thể thỏa thuận sử dụng một hoặc nhiều biện pháp bảo đảm thực hiện nghĩa vụ."
"Điều 323 Bộ luật Dân sự 2015 quy định: Tài sản bảo đảm phải thuộc sở hữu của bên bảo đảm hoặc bên bảo đảm có quyền định đoạt theo quy định của pháp luật.","Tài sản bảo đảm phải đáp ứng điều kiện gì theo Điều 323?","Tài sản bảo đảm phải thuộc sở hữu của bên bảo đảm hoặc bên bảo đảm có quyền định đoạt theo quy định của pháp luật."
"Điều 324 Bộ luật Dân sự 2015 quy định: Một tài sản có thể được dùng để bảo đảm thực hiện nhiều nghĩa vụ nếu giá trị của tài sản đó đủ để bảo đảm các nghĩa vụ.","Một tài sản có thể được dùng để bảo đảm bao nhiêu nghĩa vụ theo Điều 324?","Một tài sản có thể được dùng để bảo đảm nhiều nghĩa vụ nếu giá trị của tài sản đủ để bảo đảm."
"Điều 325 Bộ luật Dân sự 2015 quy định: Tài sản bảo đảm có thể được bán, chuyển nhượng hoặc thay thế nếu có sự đồng ý của bên nhận bảo đảm.","Tài sản bảo đảm có thể được xử lý như thế nào theo Điều 325?","Tài sản bảo đảm có thể được bán, chuyển nhượng hoặc thay thế nếu có sự đồng ý của bên nhận bảo đảm."
"Điều 326 Bộ luật Dân sự 2015 quy định: Bên nhận bảo đảm có quyền xử lý tài sản bảo đảm nếu bên có nghĩa vụ không thực hiện hoặc thực hiện không đúng nghĩa vụ.","Bên nhận bảo đảm có quyền gì khi bên có nghĩa vụ không thực hiện nghĩa vụ theo Điều 326?","Bên nhận bảo đảm có quyền xử lý tài sản bảo đảm nếu bên có nghĩa vụ không thực hiện hoặc thực hiện không đúng nghĩa vụ."
"Điều 327 Bộ luật Dân sự 2015 quy định: Việc xử lý tài sản bảo đảm phải được thực hiện theo phương thức đã thỏa thuận hoặc theo quy định của pháp luật.","Việc xử lý tài sản bảo đảm được thực hiện như thế nào theo Điều 327?","Việc xử lý tài sản bảo đảm được thực hiện theo phương thức đã thỏa thuận hoặc quy định của pháp luật."
"Điều 328 Bộ luật Dân sự 2015 quy định: Số tiền thu được từ việc xử lý tài sản bảo đảm được ưu tiên thanh toán cho bên nhận bảo đảm sau khi trừ chi phí xử lý.","Số tiền từ xử lý tài sản bảo đảm được sử dụng như thế nào theo Điều 328?","Số tiền thu được từ xử lý tài sản bảo đảm được ưu tiên thanh toán cho bên nhận bảo đảm sau khi trừ chi phí xử lý."
"Điều 329 Bộ luật Dân sự 2015 quy định: Biện pháp bảo đảm chấm dứt khi nghĩa vụ được thực hiện đầy đủ, tài sản bảo đảm bị hủy hoại, hoặc theo thỏa thuận của các bên.","Biện pháp bảo đảm chấm dứt trong những trường hợp nào theo Điều 329?","Biện pháp bảo đảm chấm dứt khi nghĩa vụ được thực hiện đầy đủ, tài sản bảo đảm bị hủy hoại, hoặc theo thỏa thuận của các bên."
"Điều 330 Bộ luật Dân sự 2015 quy định: Hợp đồng là sự thỏa thuận giữa các bên về việc xác lập, thay đổi hoặc chấm dứt quyền, nghĩa vụ dân sự.","Hợp đồng được định nghĩa như thế nào theo Điều 330?","Hợp đồng là sự thỏa thuận giữa các bên về việc xác lập, thay đổi hoặc chấm dứt quyền, nghĩa vụ dân sự."
"Điều 331 Bộ luật Dân sự 2015 quy định: Hợp đồng có hiệu lực khi có đủ các điều kiện: chủ thể có năng lực pháp luật và năng lực hành vi dân sự; mục đích và nội dung không vi phạm điều cấm của luật, không trái đạo đức xã hội; các bên hoàn toàn tự nguyện; hình thức hợp đồng phù hợp với quy định của pháp luật.","Điều kiện để hợp đồng có hiệu lực là gì theo Điều 331?","Hợp đồng có hiệu lực khi chủ thể có năng lực, mục đích và nội dung không vi phạm pháp luật, các bên tự nguyện, và hình thức hợp đồng phù hợp với pháp luật."
"Điều 332 Bộ luật Dân sự 2015 quy định: Hợp đồng được giao kết bằng thông điệp dữ liệu được coi là hợp đồng bằng văn bản.","Hợp đồng giao kết bằng thông điệp dữ liệu được coi như thế nào theo Điều 332?","Hợp đồng giao kết bằng thông điệp dữ liệu được coi là hợp đồng bằng văn bản."
"Điều 333 Bộ luật Dân sự 2015 quy định: Hợp đồng dân sự có thể giao kết bằng lời nói, bằng văn bản hoặc bằng hành vi cụ thể, trừ trường hợp pháp luật quy định phải có hình thức nhất định.","Hợp đồng dân sự có thể được giao kết bằng những hình thức nào theo Điều 333?","Hợp đồng dân sự có thể được giao kết bằng lời nói, văn bản hoặc hành vi cụ thể, trừ khi pháp luật yêu cầu hình thức nhất định."
"Điều 334 Bộ luật Dân sự 2015 quy định: Đề nghị giao kết hợp đồng là việc một bên thể hiện ý chí giao kết hợp đồng với nội dung cụ thể và sẵn sàng chịu sự ràng buộc của hợp đồng đó.","Đề nghị giao kết hợp đồng là gì theo Điều 334?","Đề nghị giao kết hợp đồng là việc một bên thể hiện ý chí giao kết hợp đồng với nội dung cụ thể và sẵn sàng chịu sự ràng buộc."
"Điều 335 Bộ luật Dân sự 2015 quy định: Chấp nhận đề nghị giao kết hợp đồng là việc bên được đề nghị đồng ý toàn bộ nội dung của đề nghị giao kết hợp đồng.","Chấp nhận đề nghị giao kết hợp đồng là gì theo Điều 335?","Chấp nhận đề nghị giao kết hợp đồng là việc bên được đề nghị đồng ý toàn bộ nội dung của đề nghị."
"Điều 336 Bộ luật Dân sự 2015 quy định: Đề nghị giao kết hợp đồng có thể bị rút lại nếu việc rút lại đến được bên được đề nghị trước hoặc cùng thời điểm với đề nghị giao kết hợp đồng.","Đề nghị giao kết hợp đồng có thể bị rút lại khi nào theo Điều 336?","Đề nghị giao kết hợp đồng có thể bị rút lại nếu việc rút lại đến được bên được đề nghị trước hoặc cùng thời điểm với đề nghị."
"Điều 337 Bộ luật Dân sự 2015 quy định: Hợp đồng được coi là giao kết khi bên được đề nghị chấp nhận toàn bộ nội dung đề nghị và thời điểm giao kết là thời điểm bên đề nghị nhận được chấp nhận.","Thời điểm hợp đồng được giao kết là khi nào theo Điều 337?","Hợp đồng được giao kết khi bên được đề nghị chấp nhận toàn bộ nội dung đề nghị, thời điểm giao kết là khi bên đề nghị nhận được chấp nhận."
"Điều 338 Bộ luật Dân sự 2015 quy định: Hợp đồng có thể được sửa đổi, bổ sung theo thỏa thuận của các bên hoặc theo quy định của pháp luật.","Hợp đồng có thể được sửa đổi, bổ sung như thế nào theo Điều 338?","Hợp đồng có thể được sửa đổi, bổ sung theo thỏa thuận của các bên hoặc quy định của pháp luật."
"Điều 339 Bộ luật Dân sự 2015 quy định: Hợp đồng vô hiệu khi không đáp ứng một trong các điều kiện có hiệu lực theo quy định tại Điều 331, hoặc vi phạm điều cấm của luật, trái đạo đức xã hội.","Hợp đồng vô hiệu khi nào theo Điều 339?","Hợp đồng vô hiệu khi không đáp ứng điều kiện có hiệu lực, vi phạm điều cấm của luật hoặc trái đạo đức xã hội."
"Điều 340 Bộ luật Dân sự 2015 quy định: Hợp đồng vô hiệu do vi phạm điều cấm của luật hoặc trái đạo đức xã hội không làm phát sinh quyền, nghĩa vụ dân sự, trừ trường hợp pháp luật có quy định khác.","Hậu quả của hợp đồng vô hiệu do vi phạm điều cấm của luật là gì theo Điều 340?","Hợp đồng vô hiệu do vi phạm điều cấm của luật hoặc trái đạo đức xã hội không làm phát sinh quyền, nghĩa vụ dân sự, trừ khi pháp luật có quy định khác."
"Điều 341 Bộ luật Dân sự 2015 quy định: Hợp đồng vô hiệu do nhầm lẫn là hợp đồng được giao kết dựa trên sự nhầm lẫn về nội dung, dẫn đến ít nhất một bên không đạt được mục đích giao kết hợp đồng.","Hợp đồng vô hiệu do nhầm lẫn là gì theo Điều 341?","Hợp đồng vô hiệu do nhầm lẫn là hợp đồng được giao kết dựa trên sự nhầm lẫn về nội dung, khiến ít nhất một bên không đạt được mục đích."
"Điều 342 Bộ luật Dân sự 2015 quy định: Hợp đồng vô hiệu do bị lừa dối, đe dọa, cưỡng ép là hợp đồng được giao kết không tự nguyện do hành vi lừa dối, đe dọa hoặc cưỡng ép của một bên.","Hợp đồng vô hiệu do bị lừa dối, đe dọa, cưỡng ép là gì theo Điều 342?","Hợp đồng vô hiệu do bị lừa dối, đe dọa, cưỡng ép là hợp đồng được giao kết không tự nguyện do hành vi lừa dối, đe dọa hoặc cưỡng ép."
"Điều 343 Bộ luật Dân sự 2015 quy định: Hợp đồng vô hiệu do người không có năng lực hành vi dân sự giao kết, trừ trường hợp pháp luật có quy định khác.","Hợp đồng vô hiệu khi nào theo Điều 343?","Hợp đồng vô hiệu khi do người không có năng lực hành vi dân sự giao kết, trừ khi pháp luật có quy định khác."
"Điều 344 Bộ luật Dân sự 2015 quy định: Hợp đồng vô hiệu do vi phạm hình thức là hợp đồng không tuân thủ hình thức mà pháp luật yêu cầu, trừ trường hợp pháp luật có quy định khác.","Hợp đồng vô hiệu do vi phạm hình thức là gì theo Điều 344?","Hợp đồng vô hiệu do vi phạm hình thức là hợp đồng không tuân thủ hình thức mà pháp luật yêu cầu, trừ khi pháp luật có quy định khác."
"Điều 345 Bộ luật Dân sự 2015 quy định: Hậu quả pháp lý của hợp đồng vô hiệu là các bên phải hoàn trả cho nhau những gì đã nhận, nếu không hoàn trả được bằng hiện vật thì hoàn trả bằng giá trị, trừ trường hợp pháp luật có quy định khác.","Hậu quả pháp lý của hợp đồng vô hiệu là gì theo Điều 345?","Các bên phải hoàn trả cho nhau những gì đã nhận, nếu không hoàn trả được bằng hiện vật thì hoàn trả bằng giá trị, trừ khi pháp luật có quy định khác."
"Điều 346 Bộ luật Dân sự 2015 quy định: Thời hiệu yêu cầu Tòa án tuyên bố hợp đồng vô hiệu là 2 năm kể từ ngày hợp đồng được giao kết, trừ trường hợp pháp luật có quy định khác.","Thời hiệu yêu cầu tuyên bố hợp đồng vô hiệu là bao lâu theo Điều 346?","Thời hiệu yêu cầu Tòa án tuyên bố hợp đồng vô hiệu là 2 năm kể từ ngày hợp đồng được giao kết, trừ khi pháp luật có quy định khác."
"Điều 347 Bộ luật Dân sự 2015 quy định: Hợp đồng vô hiệu từng phần là hợp đồng có một phần nội dung vô hiệu nhưng không ảnh hưởng đến hiệu lực của phần còn lại.","Hợp đồng vô hiệu từng phần là gì theo Điều 347?","Hợp đồng vô hiệu từng phần là hợp đồng có một phần nội dung vô hiệu nhưng không ảnh hưởng đến hiệu lực của phần còn lại."
"Điều 348 Bộ luật Dân sự 2015 quy định: Hợp đồng được giải thích theo ý chí thực sự của các bên tại thời điểm giao kết, nếu không rõ thì giải thích theo tập quán hoặc ý nghĩa phù hợp với mục đích của hợp đồng.","Hợp đồng được giải thích như thế nào theo Điều 348?","Hợp đồng được giải thích theo ý chí thực sự của các bên tại thời điểm giao kết, nếu không rõ thì theo tập quán hoặc ý nghĩa phù hợp với mục đích."
"Điều 349 Bộ luật Dân sự 2015 quy định: Các bên trong hợp đồng có quyền và nghĩa vụ ngang nhau, trừ trường hợp pháp luật có quy định khác.","Quyền và nghĩa vụ của các bên trong hợp đồng được quy định như thế nào theo Điều 349?","Các bên trong hợp đồng có quyền và nghĩa vụ ngang nhau, trừ khi pháp luật có quy định khác."
"Điều 350 Bộ luật Dân sự 2015 quy định: Hợp đồng song vụ là hợp đồng mà mỗi bên đều có nghĩa vụ đối với bên kia.","Hợp đồng song vụ là gì theo Điều 350?","Hợp đồng song vụ là hợp đồng mà mỗi bên đều có nghĩa vụ đối với bên kia."
